PO Document,PO Item,Changed On,Short Text,Material No,Company,Location,Matl/Svcs group,PO Quantity,Order Price Un.,Unit Price,,Total LI Value
7500002300,00011,8/11/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"1,700.00",EA,$99.67,"128,367.00","$169,444.44"
7500002300,00012,11/10/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"1,400.00",EA,$35.42,"37,562.00","$49,581.84"
7500002300,00013,8/11/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"4,000.00",EA,$99.67,"302,040.00","$398,692.80"
7500002300,00014,8/28/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"1,700.00",EA,$35.42,"45,611.00","$60,206.52"
7500002300,00015,8/11/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"12,000.00",EA,$99.67,"906,120.00","$1,196,078.40"
7500002300,00016,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"8,000.00",EA,$35.42,"214,640.00","$283,324.80"
7500002300,00017,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"13,000.00",EA,$99.67,"981,630.00","$1,295,751.60"
7500002300,00018,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"8,000.00",EA,$35.42,"214,640.00","$283,324.80"
7500002300,00019,6/29/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"3,300.00",EA,$99.67,"249,183.00","$328,921.56"
7500002300,00020,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"17,080.00",EA,$40.13,"519,232.00","$685,386.24"
7500002300,00021,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"3,100.00",EA,$17.07,"40,083.00","$52,909.56"
7500002300,00022,11/10/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,800,EA,$35.42,"21,464.00","$28,332.48"
7500002300,00023,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"1,000.00",EA,$99.67,"75,510.00","$99,673.20"
7500002300,00024,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"5,160.00",EA,$40.13,"156,864.00","$207,060.48"
7500002300,00025,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"1,000.00",EA,$99.67,"75,510.00","$99,673.20"
7500002300,00026,8/11/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"5,160.00",EA,$40.13,"156,864.00","$207,060.48"
7500002300,00027,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"1,320.00",EA,$99.67,"99,673.20","$131,568.62"
7500002300,00028,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"6,800.00",EA,$40.13,"206,720.00","$272,870.40"
7500002300,00029,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"3,000.00",EA,$99.67,"226,530.00","$299,019.60"
7500002300,00030,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,"2,400.00",EA,$35.42,"64,392.00","$84,997.44"
7500002300,00031,6/18/2002,PIPE; METALLIC; ANY SIZE; STAINLESS; AST,7000000056,2100,Construction Loc 005,010000,300,EA,$99.67,"22,653.00","$29,901.96"
7500002375,00011,12/25/2001,TEE; PIPE; BW; ALLOY STEEL;,7000000146,2100,Construction Loc 005,034000,12,EA,$121.44,"1,104.00","$1,457.28"
7500002375,00012,12/25/2001,TEE; PIPE; BW; ALLOY STEEL;,7000000146,2100,Construction Loc 005,034000,12,EA,$121.44,"1,104.00","$1,457.28"
7500002375,00013,12/25/2001,TEE; PIPE; BW; ALLOY STEEL;,7000000146,2100,Construction Loc 005,034000,60,EA,$121.44,"5,520.00","$7,286.40"
7500002375,00014,12/25/2001,TEE; PIPE; BW; ALLOY STEEL;,7000000146,2100,Construction Loc 005,034000,65,EA,$121.44,"5,980.00","$7,893.60"
7500002375,00015,12/25/2001,TEE; PIPE; BW; ALLOY STEEL;,7000000146,2100,Construction Loc 005,034000,6,EA,$121.44,552,$728.64
